epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1479.25,0.81369,0.41805,1.03704,0.7869,0.84934,0.87118,0.57613,1.297,0.92733,1.30938,0.000435254,0.000435254,0.000435254
111,1492.54,0.79211,0.412,1.03958,0.93143,0.87247,0.95333,0.60827,1.29103,0.60792,1.31133,0.000427565,0.000427565,0.000427565
112,1505.94,0.75101,0.41573,1.00598,0.90702,0.85953,0.89367,0.63503,1.14586,0.67872,1.18097,0.000419895,0.000419895,0.000419895
113,1519.29,0.74874,0.41949,1.01378,0.91981,0.87095,0.91436,0.62047,1.2263,0.66329,1.24077,0.000412246,0.000412246,0.000412246
114,1532.65,0.71263,0.39506,0.99329,0.88861,0.91444,0.93913,0.62866,1.24427,0.64497,1.2636,0.00040462,0.00040462,0.00040462
115,1545.95,0.69811,0.3781,0.97557,0.91369,0.88786,0.94366,0.56511,1.42892,0.70976,1.4154,0.000397019,0.000397019,0.000397019
116,1559.29,0.70476,0.37106,0.97736,0.89178,0.85755,0.91696,0.57964,1.29963,0.73916,1.28475,0.000389445,0.000389445,0.000389445
117,1572.38,0.68786,0.38176,0.95493,0.93926,0.8287,0.94045,0.55366,1.48362,0.72918,1.4222,0.000381899,0.000381899,0.000381899
118,1585.51,0.69057,0.37738,0.96258,0.8836,0.91013,0.946,0.56088,1.46055,0.67678,1.43312,0.000374383,0.000374383,0.000374383
119,1598.65,0.70308,0.36915,0.97222,0.87817,0.83791,0.93311,0.53364,1.47007,0.73658,1.47521,0.000366899,0.000366899,0.000366899
120,1611.8,0.67003,0.36597,0.93641,0.75237,0.83547,0.85971,0.55427,1.2653,0.89475,1.29948,0.00035945,0.00035945,0.00035945
121,1624.92,0.68023,0.35397,0.94694,0.76902,0.83547,0.8615,0.55049,1.2969,0.90891,1.3324,0.000352037,0.000352037,0.000352037
122,1638.05,0.67315,0.36883,0.94422,0.84339,0.82113,0.85773,0.54507,1.27278,0.83142,1.33314,0.000344661,0.000344661,0.000344661
123,1651.17,0.69215,0.37828,0.95316,0.80624,0.80483,0.82181,0.46639,1.39855,1.03493,1.45287,0.000337325,0.000337325,0.000337325
124,1664.32,0.69714,0.41017,0.96373,0.75176,0.79696,0.81479,0.4979,1.31139,0.9127,1.32507,0.00033003,0.00033003,0.00033003
125,1677.39,0.67841,0.38251,0.95719,0.83034,0.79064,0.83753,0.45661,1.48103,0.88975,1.50064,0.000322778,0.000322778,0.000322778
126,1690.53,0.66828,0.3622,0.95365,0.86226,0.87095,0.90623,0.44068,1.66254,0.86345,1.72157,0.000315572,0.000315572,0.000315572
127,1703.67,0.66597,0.35581,0.95592,0.89347,0.86567,0.92982,0.52316,1.47506,0.74088,1.52663,0.000308412,0.000308412,0.000308412
128,1716.83,0.64816,0.34418,0.95838,0.89102,0.82568,0.92667,0.52545,1.56353,0.72567,1.61452,0.0003013,0.0003013,0.0003013
129,1729.9,0.65254,0.34132,0.94235,0.85488,0.86253,0.91866,0.59149,1.34391,0.72257,1.38791,0.000294239,0.000294239,0.000294239
130,1743.04,0.64546,0.35073,0.9368,0.8714,0.89493,0.91614,0.61128,1.28792,0.72679,1.33114,0.00028723,0.00028723,0.00028723
131,1756.15,0.64292,0.34671,0.93285,0.86122,0.87702,0.9288,0.62459,1.26213,0.69455,1.29152,0.000280275,0.000280275,0.000280275
132,1769.29,0.66865,0.34592,0.95364,0.9207,0.85845,0.9212,0.49732,1.64714,0.77084,1.66095,0.000273375,0.000273375,0.000273375
133,1782.37,0.64535,0.34885,0.94978,0.89357,0.85845,0.924,0.60472,1.30693,0.69612,1.32737,0.000266532,0.000266532,0.000266532
